Date,Active Energy,Flights Climbed,Step Count,Walking + Running Distance
2021-03-12,,3.0,2964.0,1.89821
2021-03-13,,4.0,5055.0,3.10652
2021-03-14,,,1605.0,1.07544
2021-03-15,,1.0,5297.0,3.56776
2021-03-16,,3.0,6228.0,3.92024
2021-03-17,,3.0,4545.0,2.90551
2021-03-18,,14.0,5720.0,3.57766
2021-03-19,,,1478.0,0.99725
2021-03-20,,2.0,4374.0,2.89173
2021-03-21,,,2090.0,1.35319
2021-03-22,,2.0,5493.0,3.6439600000000003
2021-03-23,,,1521.0,1.0156
2021-03-24,,2.0,4734.0,3.06135
2021-03-25,,2.0,2546.0,1.63749
2021-03-26,,7.0,2827.0,1.86235
2021-03-27,,,5993.0,3.79977
2021-03-28,,6.0,2371.0,1.46552
2021-03-29,,3.0,4359.0,2.65968
2021-03-30,,,4597.0,3.229
2021-03-31,,1.0,2505.0,1.62623
2021-04-01,,2.0,4244.0,2.77955
2021-04-02,,8.0,3991.0,2.53909
2021-04-03,,9.0,6119.0,3.98498
2021-04-04,,13.0,8493.0,5.1886
2021-04-05,,6.0,3214.0,1.9696699999999998
2021-04-06,,,876.0,0.57997
2021-04-07,,2.0,4421.0,2.8711699999999998
2021-04-08,,,2535.0,1.67439
2021-04-09,,3.0,4372.0,2.95537
2021-04-10,,,565.0,0.37645
2021-04-11,,,1283.0,0.79643
2021-04-12,,,1406.0,0.94848
2021-04-13,,,918.0,0.63155
2021-04-14,,2.0,6353.0,3.97362
2021-04-15,,,2735.0,1.73395
2021-04-16,,12.0,4339.0,2.82982
2021-04-17,,11.0,2138.0,1.38428
2021-04-18,,15.0,2915.0,1.76316
2021-04-19,,10.0,2433.0,1.57771
2021-04-20,,,1612.0,0.97602
2021-04-21,,,1564.0,0.97561
2021-04-22,,10.0,3701.0,2.27396
2021-04-23,,12.0,1801.0,1.18496
2021-04-24,,14.0,2076.0,1.30541
2021-04-25,,14.0,4877.0,3.19374
2021-04-26,,2.0,2459.0,1.57291
2021-04-27,,,1074.0,0.6934899999999999
2021-04-28,,,1658.0,1.06923
2021-04-29,,,6313.0,3.9645
2021-04-30,,1.0,2058.0,1.35294
2021-05-01,,,1119.0,0.72631
2021-05-02,,,1451.0,0.96688
2021-05-03,,,957.0,0.61864
2021-05-04,,,1354.0,0.90575
2021-05-05,,,693.0,0.45642
2021-05-06,,4.0,2607.0,1.68353
2021-05-07,,9.0,2542.0,1.62114
2021-05-08,,5.0,4295.0,2.8968000000000003
2021-05-09,,7.0,3209.0,2.05087
2021-05-10,,6.0,1725.0,1.14382
2021-05-11,,16.0,2205.0,1.46887
2021-05-12,,5.0,1767.0,1.1115
2021-05-13,,10.0,6248.0,4.15431
2021-05-14,,7.0,4793.0,3.12592
2021-05-15,,10.0,3529.0,2.24539
2021-05-16,,14.0,4903.0,3.01467
2021-05-17,,1.0,6439.0,4.362893
2021-05-18,,,925.0,0.55875
2021-05-19,,5.0,10503.0,6.63748
2021-05-20,,4.0,2928.0,1.89622
2021-05-21,,16.0,4722.0,2.96204
2021-05-22,,13.0,2201.0,1.42541
2021-05-23,,20.0,4311.0,2.7179699999999998
2021-05-24,,1.0,3231.0,1.9656
2021-05-25,,,1482.0,0.90542
2021-05-26,,2.0,1953.0,1.25717
2021-05-27,,,1336.0,0.82171
2021-05-28,,10.0,4854.0,3.03621
2021-05-29,,7.0,1663.0,1.06786
2021-05-30,,11.0,3498.0,2.2454300000000003
2021-05-31,,3.0,5168.0,3.53759
2021-06-01,,20.0,7571.0,5.11448
2021-06-02,,16.0,3397.0,2.40244
2021-06-03,,11.0,3282.0,2.07747
2021-06-04,,12.0,4262.0,2.89071
2021-06-05,,2.0,2436.0,1.6183400000000001
2021-06-06,,,2209.0,1.41747
2021-06-07,,16.0,5103.0,3.38085
2021-06-08,,15.0,8691.0,5.59473
2021-06-09,,10.0,3186.0,2.07959
2021-06-10,,14.0,6664.0,4.5346
2021-06-11,,13.0,6432.0,4.08301
2021-06-12,,9.0,3848.0,2.44826
2021-06-13,,13.0,5598.0,3.56788
2021-06-14,,12.0,3773.0,2.51225
2021-06-15,,14.0,7279.0,4.623687
2021-06-16,,11.0,5219.0,3.49057
2021-06-17,,13.0,5580.0,3.57424
2021-06-18,,17.0,7887.0,5.355118
