Date,Active Energy,Flights Climbed,Step Count,Walking + Running Distance,School Period
2023-03-06,171.327,11.0,6164.0,4.2923599999999995,Freshman First Term
2023-03-07,112.001,6.0,4002.0,2.81792,Freshman First Term
2023-03-08,146.523,10.0,4724.0,3.3296140000000003,Freshman First Term
2023-03-09,180.077,7.0,6500.0,4.586622,Freshman First Term
2023-03-10,223.70600000000002,7.0,7772.0,5.102352,Freshman First Term
2023-03-11,352.199,15.0,11729.0,7.457875,Freshman First Term
2023-03-12,167.185,12.0,5185.0,3.63923,Freshman First Term
2023-03-13,189.547,11.0,6113.0,4.269557,Freshman First Term
2023-03-14,123.68299999999999,6.0,3206.0,2.324264,Freshman First Term
2023-03-15,227.816,19.0,6649.0,4.733856,Freshman First Term
2023-03-16,154.41500000000002,8.0,4661.0,3.327831,Freshman First Term
2023-03-17,225.967,12.0,7631.0,5.52334,Freshman First Term
2023-03-18,239.27599999999998,17.0,7610.0,5.4485446,Freshman First Term
2023-03-19,69.537,6.0,2171.0,1.52334,Freshman First Term
2023-03-20,234.44,14.0,7306.0,5.102018,Freshman First Term
2023-03-21,216.68,9.0,8603.0,5.567465,Freshman First Term
2023-03-22,277.013,20.0,8100.0,5.45885,Freshman First Term
2023-03-23,232.57999999999998,14.0,7339.0,5.21096,Freshman First Term
2023-03-24,152.48,9.0,5477.0,3.86102,Freshman First Term
2023-03-25,122.256,13.0,3736.0,2.6024190000000003,Freshman First Term
2023-03-26,239.642,9.0,7327.0,5.123495,Freshman First Term
2023-03-27,263.108,15.0,8874.0,6.321096,Freshman First Term
2023-03-28,128.963,5.0,4734.0,3.422876,Freshman First Term
2023-03-29,123.866,4.0,4645.0,3.16468,Freshman First Term
2023-03-30,144.526,6.0,5960.0,4.1331544000000005,Freshman First Term
2023-03-31,190.758,4.0,7682.0,5.2972470000000005,Freshman First Term
2023-04-01,179.178,8.0,7569.0,5.15344,Freshman First Term
2023-04-02,224.124,7.0,7458.0,5.243119,Freshman First Term
2023-04-03,116.627,8.0,4852.0,3.364048,Freshman First Term
2023-04-04,63.156000000000006,2.0,2254.0,1.64358,Freshman First Term
2023-04-05,254.135,19.0,7495.0,5.40938,Freshman First Term
2023-04-06,155.292,14.0,4148.0,2.92896,Freshman First Term
2023-04-07,298.507,14.0,9345.0,6.641725,Freshman First Term
2023-04-08,223.761,13.0,6988.0,5.075799,Freshman First Term
2023-04-09,168.451,11.0,5596.0,4.06028,Freshman First Term
2023-04-10,305.285,11.0,9550.0,6.458480000000001,Freshman First Term
2023-04-11,207.314,13.0,6511.0,4.631733,Freshman First Term
2023-04-12,165.126,7.0,5570.0,4.00113,Freshman First Term
2023-04-13,161.733,11.0,5344.0,3.66615,Freshman First Term
2023-04-14,299.298,17.0,9390.0,6.54364,Freshman First Term
2023-04-15,84.544,4.0,2806.0,2.028396,Freshman First Term
2023-04-16,156.299,10.0,5635.0,3.872386,Freshman First Term
2023-04-17,329.427,12.0,11859.0,7.708022,Freshman First Term
2023-04-18,148.12900000000002,8.0,3940.0,2.913658,Freshman First Term
2023-04-19,130.073,6.0,4949.0,3.54133,Freshman First Term
2023-04-20,173.888,14.0,6051.0,4.207588,Freshman First Term
2023-04-21,74.243,6.0,3145.0,2.18688,Freshman First Term
2023-04-22,39.542,,2190.0,1.5239,Freshman First Term
2023-04-23,78.274,6.0,3488.0,2.43729,Freshman First Term
2023-04-24,223.456,15.0,7480.0,5.37735,Freshman First Term
2023-04-25,176.25,15.0,6355.0,4.532456,Freshman First Term
2023-04-26,193.78199999999998,9.0,7199.0,5.1243637,Freshman First Term
2023-04-27,94.98,8.0,3151.0,2.2480949999999997,Freshman First Term
2023-04-28,61.444,4.0,2166.0,1.5118,Freshman First Term
2023-04-29,138.65,7.0,4675.0,3.41269,Freshman First Term
2023-04-30,294.511,6.0,9556.0,6.605444,Freshman First Term
2023-05-01,78.484,4.0,2971.0,2.03673,Freshman First Term
2023-05-02,79.41,5.0,2605.0,1.8788900000000002,Freshman First Term
2023-05-03,417.522,16.0,12597.0,9.09648,Freshman First Term
2023-05-04,97.253,10.0,2607.0,1.90305,Freshman First Term
2023-05-05,142.904,8.0,3580.0,2.663463,Freshman First Term
2023-05-06,61.292,3.0,2096.0,1.53754,Freshman First Term
2023-05-07,90.372,6.0,2993.0,2.19698,Freshman First Term
2023-05-08,148.541,12.0,4511.0,3.152,Freshman First Term
2023-05-09,219.171,6.0,8457.0,5.348992,Freshman First Term
2023-05-10,334.461,13.0,10319.0,7.0187420000000005,Freshman First Term
